name,Quantity,Price
Coconut,3.00 pcs,585.00
Leeks,250.00 g,48.00
Beetroot,250.00 g,105.00
Lime,250.00 g,50.00
Cauliflower,300.00 g,204.00
Potatoes,500.00 g,150.00
Brinjal,350.00 g,242.00
Tomato,500.00 g,220.00
Raw Ginger,150.00 g,297.00
Green Chillies,100.00 g,89.00
Red Onion,250.00 g,118.00
Garlic,250.00 g,260.00
Green Beans,250.00 g,198.00
Pumpkin,500.00 g,90.00
Big Onion,500.00 g,125.00
Bitter Gourd,250.00 g,105.00
Cabbage,500.00 g,170.00
Capsicum,250.00 g,240.00
Sweet Potatoes,500.00 g,164.50
Carrot,500.00 g,340.00
