name,Price
Lanka Soy Soya Meat Chicken 90g,Rs 112.00 / Unit
Dilmah Tea Bopf Premium Loose Pouch 400g,"Rs 1,072.00 / Unit"
Nestomalt Malted Food Drink Pouch 600G,Rs 840.00 / Unit
Maliban Gingernut Biscuits 80g,Rs 90.00 / Unit
Nangrow Baby Milk Powder Stage 3 Box 1-3Years 300G,"Rs 1,500.00 / Unit"
Rice Red Kekulu Bulk Kg - Local,Rs 220.00
Big Onions,Rs 200.00
Rice Samba Bulk Kg - Local,Rs 240.00
Coconut,Rs 195.00
Potatoes,Rs 320.00
,
,
,
,
,
Keells Cheese Snacks 50g,Rs 179.00
Keells Marie Biscuit 80g,Rs 81.00
Keells Peanut Spread Crunchy 200g,Rs 770.00
Keells Chocolate Spread 200g,"Rs 1,250.00"
Keells Vegetable Oil 1L,"Rs 1,350.00"
