name,Price,Source,Quantity
Snake gourd,Rs220,Ican Mall,
Coriander,Rs40,Ican Mall,
Long Raddish,Rs125,Ican Mall,
Cauliflower,Rs415,Ican Mall,
Dry Red Chilli,Rs750,Ican Mall,
Zucchini,Rs250,Ican Mall,
Parsley,Rs138,Ican Mall,
Yellow Zucchini,Rs300,Ican Mall,
Kiri Ala,Rs112,Ican Mall,
Tibbatu,Rs175,Ican Mall,
Paradise Oyster Mushrooms - 200.00 g,Rs200,Ican Mall,
Red Chilli,Rs925,Ican Mall,
Manioc,Rs82,Ican Mall,
Kang Kung,Rs70,Ican Mall,
Spring Onion,Rs115,Ican Mall,
Celery,Rs56,Ican Mall,
Potato,Rs65,Ican Mall,
Luffa,Rs232,Ican Mall,
Leek,Rs,Ican Mall,
Beetroot,Rs80,Ican Mall,
Bitter gourd,Rs108,Ican Mall,
Brinjal,Rs,Ican Mall,
Lettuce,Rs120,Ican Mall,
Thalana Batu,Rs120,Ican Mall,
Red cabbage,Rs400,Ican Mall,
Polos,Rs200,Ican Mall,
Spinach,Rs160,Ican Mall,
Banana Blossom,Rs,Ican Mall,
Curry banana,Rs45,Ican Mall,
Long beans,Rs115,Ican Mall,
Chinese Cabbage,Rs265,Ican Mall,
Nai Miris,Rs160,Ican Mall,
Knol Khol,Rs,Ican Mall,
Garlic,Rs80,Ican Mall,
Curry mango,Rs,Ican Mall,
Ladies fingers,Rs85,Ican Mall,
Mint,Rs,Ican Mall,
Tomato Big,Rs70,Ican Mall,
Broccoli,Rs550,Ican Mall,
Red onion,Rs118,Ican Mall,
Onion Big,Rs45,Ican Mall,
Sweet Potato,Rs130,Ican Mall,
Carrot,Rs192,Ican Mall,
Bell Pepper,Rs,Ican Mall,
Green Chillie,Rs80,Ican Mall,
Lemon,Rs45,Ican Mall,
My Choice Tamarind - 100.00 g,Rs120,Ican Mall,
Japanese Cucumber,Rs80,Ican Mall,
Green beens,Rs175,Ican Mall,
Bell pepper -yellow,"Rs1,050",Ican Mall,
Raddish,Rs100,Ican Mall,
Kakiri,Rs145,Ican Mall,
Bell pepper Red,Rs925,Ican Mall,
Lime,Rs48,Ican Mall,
Capsicum,Rs225,Ican Mall,
Potato- Big (Local),Rs90,Ican Mall,
Cabbage,Rs180,Ican Mall,
Ginger,Rs155,Ican Mall,
Batana,Rs,Ican Mall,
Bok Choy / Pak Choi,Rs175,Ican Mall,
Spine Gourd,Rs,Ican Mall,
Cabbage Leaves,Rs168,Ican Mall,
Pumpkin,Rs75,Ican Mall,
Dambala,Rs,Ican Mall,
Coconut - 3 Pcs,Rs588,Ican Mall,
Cucumber,Rs,Ican Mall,
Dandila Ala,Rs300,Ican Mall,
Big Onions,Rs 210.00,Keells,
Potatoes,Rs 310.00,Keells,
Coconut,Rs 195.00,Keells,
Tomatoes,Rs 270.00,Keells,
Carrot,Rs 880.00,Keells,
Cabbage,Rs 312.00 / KG,Keells,
Pumpkin,Rs 136.00 / KG,Keells,
Green Beans,Rs 690.00,Keells,
Brinjals,Rs 580.00,Keells,
Garlic,"Rs 1,040.00",Keells,
Leeks,Rs 210.00,Keells,
Cucumber,Rs 100.00,Keells,
Bitter Gourd,Rs 390.00,Keells,
Beetroot,Rs 270.00,Keells,
Snake Gourd,Rs 336.00 / KG,Keells,
Sweet Potato,Rs 280.00,Keells,
Red Onions,Rs 420.00,Keells,
Ash Plantains,Rs 140.00,Keells,
Ladies Fingers,Rs 264.00 / KG,Keells,
Lime,Rs 190.00,Keells,
Plantain Flower,Rs 150.00,Keells,
Cauliflower,Rs 620.00,Keells,
Pre-Packed Red Onions,Rs 440.00,Keells,
Green Chilies,Rs 940.00,Keells,
Manioc,Rs 210.00,Keells,
Organic Mukunuwenna,Rs 125.00,Keells,
Ginger,"Rs 1,890.00",Keells,
Fresh Leaf Chopped Mukunuwenna 150g,Rs 150.00,Keells,
Capsicum,Rs 940.00,Keells,
Thalana Batu,Rs 540.00,Keells,
Knol Khol,Rs 450.00,Keells,
White Wave Tofu( Bean Curd )250g,Rs 250.00,Keells,
Onion Leaves,Rs 720.00,Keells,
Ribbed Gourd,Rs 520.00,Keells,
Kekiri,Rs 300.00,Keells,
Batana,Rs 540.00,Keells,
Kohila,Rs 400.00,Keells,
Organic Kankun,Rs 130.00,Keells,
Three Star Cut Gotukola 100g,Rs 150.00,Keells,
Pre-Packed Potatoes,Rs 330.00,Keells,
"38, Iswari Road, Colombo 5,  Sri Lanka, ,",•,Uber Eats,
Garlic 100G  (Premium) - Celeste Daily - SKU 004940,LKR 126.00,Uber Eats,
Long Beans (String Beans) - 200G - 250G - Celeste Daily - SKU 004946,LKR 165.00,Uber Eats,
Spring Onion 200G - 250G - Celeste Daily - SKU 004967,LKR 206.00,Uber Eats,
Green Chilies 50G - 60G - Celeste Daily - SKU 004938,LKR 101.00,Uber Eats,
Common Beans 200G - 250G - Celeste Daily - SKU 004917,LKR 246.00,Uber Eats,
Potato 250G - Celeste Daily - SKU 000450,LKR 119.00,Uber Eats,
Cabbage Leaves 200G - 250G - Celeste Daily - SKU 004908,LKR 147.00,Uber Eats,
Ginger 80G - 100G - Celeste Daily - SKU 004941,LKR 242.00,Uber Eats,
Eggplant 200G - 250G - Celeste Daily - SKU 004922,LKR 232.00,Uber Eats,
Winged Beans (Dambala) 200G - 250G - Celeste Daily - SKU 004968,LKR 174.00,Uber Eats,
English Cucumber 200G - 300G - Celeste Daily - SKU 004919,LKR 134.00,Uber Eats,
Capsicum 100G - 150G - Celeste Daily - SKU 004909,LKR 206.00,Uber Eats,
Chinese Cabbage - 300G - 350G - Celeste Daily - SKU 004911,LKR 213.00,Uber Eats,
Red Big Onion 250G - Celeste Daily - SKU 004951,LKR 87.00,Uber Eats,
Common Tomatoes 150G - 200G - Celeste Daily - SKU 004918,LKR 119.00,Uber Eats,
Thalana Batu 250-300G - Celeste Daily - SKU 000577,LKR 178.00,Uber Eats,
Cherry Tomato 50G - 60G - Celeste Daily - SKU 004914,LKR 156.00,Uber Eats,
Cauliflower 250G - 300G - Celeste Daily - SKU 004912,LKR 320.00,Uber Eats,
Pumpkin 350G - 400G - Celeste Daily - SKU 004963,LKR 120.00,Uber Eats,
Leeks 200G - 250G - Celeste Daily - SKU 004953,LKR 135.00,Uber Eats,
Bitter Gourd,108.0,Cargills,250.00 g
Big Onion,130.0,Cargills,500.00 g
Coconut,588.0,Cargills,3.00 pcs
Sweet Potatoes,137.5,Cargills,500.00 g
Green Beans,173.0,Cargills,250.00 g
Cabbage,180.0,Cargills,500.00 g
Pumpkin,90.0,Cargills,500.00 g
Green Chillies,89.0,Cargills,100.00 g
Capsicum,223.0,Cargills,250.00 g
Garlic,260.0,Cargills,250.00 g
Red Onion,118.0,Cargills,250.00 g
Tomato,135.0,Cargills,500.00 g
Raw Ginger,297.0,Cargills,150.00 g
Lime,48.0,Cargills,250.00 g
Leeks,55.0,Cargills,250.00 g
Cauliflower,225.0,Cargills,300.00 g
Brinjal,203.0,Cargills,350.00 g
Beetroot,80.0,Cargills,250.00 g
Potatoes,150.0,Cargills,500.00 g
Carrot,440.0,Cargills,500.00 g
