Price,name
•,"38, Iswari Road, Colombo 5,  Sri Lanka, ,"
LKR 126.00,Garlic 100G  (Premium) - Celeste Daily - SKU 004940
LKR 165.00,Long Beans (String Beans) - 200G - 250G - Celeste Daily - SKU 004946
LKR 206.00,Spring Onion 200G - 250G - Celeste Daily - SKU 004967
LKR 101.00,Green Chilies 50G - 60G - Celeste Daily - SKU 004938
LKR 246.00,Common Beans 200G - 250G - Celeste Daily - SKU 004917
LKR 119.00,Potato 250G - Celeste Daily - SKU 000450
LKR 147.00,Cabbage Leaves 200G - 250G - Celeste Daily - SKU 004908
LKR 242.00,Ginger 80G - 100G - Celeste Daily - SKU 004941
LKR 232.00,Eggplant 200G - 250G - Celeste Daily - SKU 004922
LKR 174.00,Winged Beans (Dambala) 200G - 250G - Celeste Daily - SKU 004968
LKR 134.00,English Cucumber 200G - 300G - Celeste Daily - SKU 004919
LKR 206.00,Capsicum 100G - 150G - Celeste Daily - SKU 004909
LKR 213.00,Chinese Cabbage - 300G - 350G - Celeste Daily - SKU 004911
LKR 87.00,Red Big Onion 250G - Celeste Daily - SKU 004951
LKR 119.00,Common Tomatoes 150G - 200G - Celeste Daily - SKU 004918
LKR 178.00,Thalana Batu 250-300G - Celeste Daily - SKU 000577
LKR 156.00,Cherry Tomato 50G - 60G - Celeste Daily - SKU 004914
LKR 320.00,Cauliflower 250G - 300G - Celeste Daily - SKU 004912
LKR 120.00,Pumpkin 350G - 400G - Celeste Daily - SKU 004963
LKR 135.00,Leeks 200G - 250G - Celeste Daily - SKU 004953
